STT,Diễn viên,Link_Wikipedia,Họ và tên,Ngày sinh,Quốc tịch,Nghề nghiệp,Năm hoạt động,Link ảnh
1,Thu Trang,https://vi.wikipedia.org/wiki/Thu_Trang,Trần Ngọc Thu Trang,"Trần Ngọc Thu Trang; 23 tháng 9, 1984 (40 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênNhà sản xuất phimĐạo diễn,2002 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:THU_TRANG_2020.jpg
2,Quốc Trường,https://vi.wikipedia.org/wiki/Qu%E1%BB%91c_Tr%C6%B0%E1%BB%9Dng_(di%E1%BB%85n_vi%C3%AAn),Nguyễn Quốc Trường,"Nguyễn Quốc Trường; 23 tháng 4, 1988 (37 tuổi); Cần Thơ, Việt Nam",Việt Nam,Diễn viên,2009 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Qu%E1%BB%91c_Tr%C6%B0%E1%BB%9Dng_2019_(cropped).jpeg
3,Bảo Thanh,https://vi.wikipedia.org/wiki/B%E1%BA%A3o_Thanh_(di%E1%BB%85n_vi%C3%AAn),Vũ Thị Phương Thanh,"Vũ Thị Phương Thanh; 26 tháng 10, 1990 (34 tuổi); Bắc Giang, Việt Nam",Việt Nam,Diễn viên,2000–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:B%E1%BA%A3o_Thanh.jpg
4,NSND Ngọc Giàu,https://vi.wikipedia.org/wiki/Ng%E1%BB%8Dc_Gi%C3%A0u,Phong Thị Ngọc Giàu,"Phong Thị Ngọc Giàu; 13 tháng 12, 1945 (79 tuổi); Thủ Thiêm, Gia Định, Nam Kỳ, Liên bang Đông Dương",Việt Nam,Diễn viênNghệ sĩ cải lương,1956 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Ng%E1%BB%8Dc_Gi%C3%A0u.png
5,Trung Dân,https://vi.wikipedia.org/wiki/Trung_D%C3%A2n,Nguyễn Trung Dân,"Nguyễn Trung Dân; 20 tháng 7, 1967 (58 tuổi); Nhị Bình, Hóc Môn, Gia Định, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1992–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Trung_Dan.png
6,NSND Việt Anh,https://vi.wikipedia.org/wiki/Vi%E1%BB%87t_Anh_(ngh%E1%BB%87_s%C4%A9),Nguyễn Văn Liêm,"Nguyễn Văn Liêm; 11 tháng 6, 1958 (67 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1974 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:NSND_Viet_Anh_2025.png
7,NSND Hồng Vân,https://vi.wikipedia.org/wiki/H%E1%BB%93ng_V%C3%A2n_(di%E1%BB%85n_vi%C3%AAn),Ngô Đặng Hồng Vân,"Ngô Đặng Hồng Vân; 26 tháng 5, 1966 (59 tuổi); Từ Sơn, Bắc Ninh, Việt Nam Dân chủ Cộng hòa",Việt Nam,Diễn viênĐạo diễn sân khấuNhà sản xuấtDoanh nhân,1989 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HongVan1966.jpg
8,Trường Giang,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Giang_(ngh%E1%BB%87_s%C4%A9),Võ Vũ Trường Giang,"Võ Vũ Trường Giang; 20 tháng 4, 1983 (42 tuổi); Long Thành, Đồng Nai, Việt Nam",Việt Nam,Diễn viênNghệ sĩ hàiNhạc sĩNgười dẫn chương trình,2007 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:TR%C6%AF%E1%BB%9CNG_GIANG.png
9,Mạc Văn Khoa,https://vi.wikipedia.org/wiki/M%E1%BA%A1c_V%C4%83n_Khoa,Mạc Văn Khoa,"Mạc Văn Khoa; 4 tháng 5, 1992 (33 tuổi); Chí Linh, Hải Dương, Việt Nam",,Diễn viênNghệ sĩ hài,2015 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:MAC_VAN_KHOA_2023.jpg
10,Tấn Beo,https://vi.wikipedia.org/wiki/T%E1%BA%A5n_Beo,Phạm Tấn Danh,"Phạm Tấn Danh; 13 tháng 1, 1965 (60 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viên,1981 - 2024,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:TAN_BEO.jpg
11,Đức Phúc,https://vi.wikipedia.org/wiki/%C4%90%E1%BB%A9c_Ph%C3%BAc,Nguyễn Đức Phúc,"Nguyễn Đức Phúc; 15 tháng 10, 1996 (28 tuổi); Hà Nội, Việt Nam",Việt Nam,Ca sĩdiễn viênrapper,,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:%C4%90%E1%BB%A9c_Ph%C3%BAc_t%E1%BA%A1i_Si%C3%AAu_th%E1%BB%AD_th%C3%A1ch_2021_(cropped).jpg
12,Phương Thanh,https://vi.wikipedia.org/wiki/Ph%C6%B0%C6%A1ng_Thanh,Bùi Thị Phương Thanh,"Bùi Thị Phương Thanh; 27 tháng 4, 1973 (52 tuổi); Nông Cống, Thanh Hóa, Việt Nam Dân chủ Cộng hòa",Việt Nam,Ca sĩDiễn viên,1990–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Phuong_Thanh_(cropped).jpg
13,Ninh Dương Lan Ngọc,https://vi.wikipedia.org/wiki/Ninh_D%C6%B0%C6%A1ng_Lan_Ng%E1%BB%8Dc,,"4 tháng 4, 1990 (35 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viên,2009–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Ninh_D%C6%B0%C6%A1ng_Lan_Ng%E1%BB%8Dc_trong_M%E1%BB%91i_T%C3%ACnh_%C4%90%E1%BA%A7u_C%E1%BB%A7a_T%C3%B4i.png
14,NSND Lê Khanh,https://vi.wikipedia.org/wiki/L%C3%AA_Khanh,,,Việt Nam,,1970 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Lekhanh2_(cropped).jpg
15,Jun Vũ,https://vi.wikipedia.org/wiki/Jun_V%C5%A9,Vũ Phương Anh,"Vũ Phương Anh; 4 tháng 6, 1995 (30 tuổi); Hà Nội, Việt Nam",Việt Nam,Diễn viên Người dẫn chương trình Người mẫu,2014–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Jun_V%C5%A9_in_Ch%E1%BB%8Dn_%C4%90%C3%A2u_Cho_%C4%90%C3%BAng_(2).png
16,Lê Xuân Tiền,nan,,,,,,
17,Hiệp Gà,https://vi.wikipedia.org/wiki/Hi%E1%BB%87p_G%C3%A0,,,Việt Nam,,,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Hi%E1%BB%87p_G%C3%A0.png
18,Hà Việt Dũng,https://vi.wikipedia.org/wiki/H%C3%A0_Vi%E1%BB%87t_D%C5%A9ng,,"19 tháng 8, 1987 (38 tuổi); Tân Lạc, Hòa Bình, Việt Nam",Việt Nam,Người mẫudiễn viên,2011–nay,
19,YaYa Trương Nhi,nan,,,,,,
20,Cao Thái Hà,https://vi.wikipedia.org/wiki/Cao_Th%C3%A1i_H%C3%A0,,"20 tháng 4, 1990 (35 tuổi); Cần Thơ, Việt Nam",Việt Nam,Diễn viên,2011–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:CaoThaiHa1990.jpg
21,Phước Sang,https://vi.wikipedia.org/wiki/Ph%C6%B0%E1%BB%9Bc_Sang,Lưu Phước Sang,"Lưu Phước Sang; 2 tháng 7, 1969 (56 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viênNhà sản xuất điện ảnh,1989–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:LUU_PHUOC_SANG.jpg
22,Hương Giang,"https://vi.wikipedia.org/wiki/H%C6%B0%C6%A1ng_Giang_(ca_s%C4%A9,_MC,_hoa_h%E1%BA%ADu)",Nguyễn Ngọc Hiếu,"Nguyễn Ngọc Hiếu; 29 tháng 12, 1991 (33 tuổi)[1][2]; Hà Nội, Việt Nam",Việt Nam,Ca sĩDiễn viênNgười mẫuNhân vật truyền hình,2010–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Huong_Giang_in_2015_(cropped).png
23,Phát La,nan,,,,,,
24,Tuấn Trần,https://vi.wikipedia.org/wiki/Tu%E1%BA%A5n_Tr%E1%BA%A7n,Trần Duy Tuấn,"Trần Duy Tuấn; 20 tháng 11, 1992 (32 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênNgười mẫu,20102015–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Tu%E1%BA%A5n_Tr%E1%BA%A7n.jpg
25,Puka,nan,,,,,,
26,NSND Kim Xuân,https://vi.wikipedia.org/wiki/Kim_Xu%C3%A2n,,,Việt Nam,,1970 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:KIM_XUAN_-_GMTQ_2020.jpg
27,NSƯT Hữu Châu,https://vi.wikipedia.org/wiki/H%E1%BB%AFu_Ch%C3%A2u,Nguyễn Hữu Châu,"Nguyễn Hữu Châu; 22 tháng 1, 1966 (59 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1985 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Huu_Chau.JPG
28,Karen Nguyễn,nan,,,,,,
29,Lệ Hằng,nan,,,,,,
30,Đông Kha,nan,,,,,,
31,Hoàng Yến Chibi,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Y%E1%BA%BFn,,,,,,
32,Quách Ngọc Tuyên,nan,,,,,,
33,Nam Long,https://vi.wikipedia.org/wiki/Nam_Long,,,,,,
34,Trương Minh Quốc Thái,https://vi.wikipedia.org/wiki/Tr%C6%B0%C6%A1ng_Minh_Qu%E1%BB%91c_Th%C3%A1i,Trương Minh Quốc Thái,"Trương Minh Quốc Thái; 3 tháng 9, 1974 (51 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1997 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:TruongMinhQuocThai1974.jpg
35,Doãn Quốc Đam,nan,,,,,,
36,Kiều Minh Tuấn,https://vi.wikipedia.org/wiki/Ki%E1%BB%81u_Minh_Tu%E1%BA%A5n,Kiều Minh Tuấn,"Kiều Minh Tuấn; 26 tháng 2, 1988 (37 tuổi); Bà Rịa - Vũng Tàu, Việt Nam",Việt Nam,Diễn viên,2010 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:KIEU_MINH_TUAN.jpg
37,Khả Như,nan,,,,,,
38,Oanh Kiều,nan,,,,,,
39,Ngân Chi,nan,,,,,,
40,Thúy Hằng,nan,,,,,,
41,Hồ Minh Khuê,nan,,,,,,
42,Hoàng Mai Anh,nan,,,,,,
43,Khánh Hiền,nan,,,,,,
44,La Thành,nan,,,,,,
45,Tuấn Trần,nan,,,,,,
46,Sơn Tùng M-TP,https://vi.wikipedia.org/wiki/S%C6%A1n_T%C3%B9ng_M-TP,Nguyễn Thanh Tùng,"Nguyễn Thanh Tùng; 5 tháng 7, 1994 (31 tuổi); Thành phố Thái Bình, Thái Bình, Việt Nam",Việt Nam,Ca sĩ kiêm sáng tác nhạcnhà sản xuất thu âmdiễn viênrapperdoanh nhân,,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Son_Tung_M-TP_1_(2021).png
47,FAPtv (Huỳnh Phương,nan,,,,,,
48,Thái Vũ,nan,,,,,,
49,Vinh Râu),nan,,,,,,
50,Phan Hoàng Kim,nan,,,,,,
51,Mai Thuý Vy,nan,,,,,,
52,Quỳnh Thư,nan,,,,,,
53,Long Đẹp Trai,nan,,,,,,
54,Phương Anh Đào,nan,,,,,,
55,Quang Tuấn,nan,,,,,,
56,Đỗ Nhật Trường,nan,,,,,,
57,Ái Phương,nan,,,,,,
58,Peter Phạm,nan,,,,,,
59,Simon Kook,nan,,,,,,
60,Thạch Kim Long,nan,,,,,,
61,Công Ninh,https://vi.wikipedia.org/wiki/C%C3%B4ng_Ninh,Nguyễn Công Ninh,"Nguyễn Công Ninh; 28 tháng 1, 1962 (63 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1990 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Cong_Ninh.jpg
62,Phạm Huy Thục,nan,,,,,,
63,Phương Anh Đào,https://vi.wikipedia.org/wiki/Ph%C6%B0%C6%A1ng_Anh_%C4%90%C3%A0o,Đào Phương Anh Đào,"Đào Phương Anh Đào; 30 tháng 4, 1992 (33 tuổi); Cà Mau,[a] Việt Nam",Việt Nam,Diễn viên,2014–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Phuong_Anh_Dao_from_%22Glorious_Ashes%22_at_Red_Carpet_of_the_Tokyo_International_Film_Festival_2022_(52460466207)_(cropped).jpg
64,Hiếu Nguyễn,nan,,,,,,
65,Oanh Kiều,https://vi.wikipedia.org/wiki/Oanh_Ki%E1%BB%81u,,"5 tháng 1, 1989 (36 tuổi); Đà Lạt, Lâm Đồng, Việt Nam",Việt Nam,Diễn viên,2011–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Oanh_Ki%E1%BB%81u_2020.png
66,Trần Anh Khoa,nan,,,,,,
67,Anh Tú Wilson,nan,,,,,,
68,Wowy,https://vi.wikipedia.org/wiki/Wowy,Nguyễn Ngọc Minh Huy,"Nguyễn Ngọc Minh Huy; 27 tháng 9, 1988 (36 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Rapper Nhạc sĩ sáng tác ca khúc,2012–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:WOWY_P1.jpg
69,Cát Phượng,https://vi.wikipedia.org/wiki/C%C3%A1t_Ph%C6%B0%E1%BB%A3ng,Đỗ Như Cát Phượng,"Đỗ Như Cát Phượng; 3 tháng 12, 1970 (54 tuổi); Sa Đéc, Đồng Tháp, Việt Nam Cộng hòa",Việt Nam,Diễn viênCa sĩNghệ sĩ hài,1993 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Catphuong.jpg
70,Mai Thế Hiệp,https://vi.wikipedia.org/wiki/Mai_Th%E1%BA%BF_Hi%E1%BB%87p,Mai Thế Hiệp,"Mai Thế Hiệp; 9 tháng 12, 1970 (54 tuổi); Biên Hòa, Đồng Nai, Việt Nam Cộng hòa",,Diễn viên; Đạo diễn; Nhà biên kịch; Nhà sản xuất,1996 – nay,
71,Thanh Tú,nan,,,,,,
72,Hải Triều,nan,,,,,,
73,Lương Anh Vũ (Alvin Lu),nan,,,,,,
74,Hồ Thu Anh,nan,,,,,,
75,Hồ Minh Ngọc,nan,,,,,,
76,Hồ Thành Trung,nan,,,,,,
77,Việt Linh,nan,,,,,,
78,Yu Dương,nan,,,,,,
79,Kiều Trinh,nan,,,,,,
80,Xuân Hiệp,nan,,,,,,
81,Tống Yến Nhi,nan,,,,,,
82,Mai Bích Trâm,nan,,,,,,
83,Yaya Trương Nhi,nan,,,,,,
84,Trịnh Xuân Nhãn,nan,,,,,,
85,Phạm Thanh Trúc,nan,,,,,,
86,Thái Hoà,https://vi.wikipedia.org/wiki/Th%C3%A1i_H%C3%B2a_(di%E1%BB%85n_vi%C3%AAn),Hồ Thái Hòa,"Hồ Thái Hòa; 10 tháng 8, 1974 (51 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1998–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:TH%C3%81I_H%C3%92A_2025.jpg
87,Đức Thịnh,https://vi.wikipedia.org/wiki/%C4%90%E1%BB%A9c_Th%E1%BB%8Bnh_(%C4%91%E1%BA%A1o_di%E1%BB%85n),Đỗ Đức Thịnh,"Đỗ Đức Thịnh; 24 tháng 12, 1975 (49 tuổi); Sài Gòn – Gia Định, Cộng hòa miền Nam Việt Nam",Việt Nam,Diễn viênDoanh nhânNhà làm phim,2002–nay,
88,Hồng Ánh,https://vi.wikipedia.org/wiki/H%E1%BB%93ng_%C3%81nh,Phạm Thị Hồng Ánh,"Phạm Thị Hồng Ánh; 28 tháng 8, 1977 (48 tuổi); Trà Vinh, Việt Nam",Việt Nam,Diễn viên,1995–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Hong_Anh.png
89,Kaity Nguyễn,https://vi.wikipedia.org/wiki/Kaity_Nguy%E1%BB%85n,Nguyễn Ngọc Bình An,"Nguyễn Ngọc Bình An; 9 tháng 4, 1999 (26 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Hoa Kỳ; Việt Nam[1],Diễn viênNgười mẫu,2017–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:KAITY_NGUY%E1%BB%84N_2025.jpg
90,Hứa Vĩ Văn,https://vi.wikipedia.org/wiki/H%E1%BB%A9a_V%C4%A9_V%C4%83n,Hứa Vĩ Văn,"Hứa Vĩ Văn; 25 tháng 12, 1979 (45 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênNgười mẫuCa sĩ,2000 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HuaViVan1979.jpg
91,Hoàng Thùy Linh,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Th%C3%B9y_Linh,,"11 tháng 8, 1988 (37 tuổi); Hà Nội, Việt Nam",Việt Nam,Ca sĩDiễn viênNgười mẫu,2004–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HOANG_THUY_LINH.jpg
92,BB Trần,nan,,,,,,
93,Trịnh Thăng Bình,https://vi.wikipedia.org/wiki/Tr%E1%BB%8Bnh_Th%C4%83ng_B%C3%ACnh,Trịnh Thăng Bình,"30 tháng 4, 1988 (37 tuổi); Thành phố Hồ Chí Minh, Việt Nam",,Ca sĩ; Nhạc sĩ; Diễn viên; Nhà sản xuất âm nhạc; Người dẫn chương trình,,
94,Hạnh Thúy,nan,,,,,,
95,Kay Trần,nan,,,,,,
96,NSƯT Ngọc Hiệp,nan,,,,,,
97,Quốc Anh,nan,,,,,,
98,Khả Ngân,https://vi.wikipedia.org/wiki/Kh%E1%BA%A3_Ng%C3%A2n,Trần Thị Kim Ngân,"Trần Thị Kim Ngân; 31 tháng 7, 1997 (28 tuổi)[1]; Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênNgười mẫu,2012–nay[2],https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Kh%E1%BA%A3_Ng%C3%A2n.png
99,Hoàng Yến Chibi,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Y%E1%BA%BFn_Chibi,Nguyễn Hoàng Yến,"Nguyễn Hoàng Yến; 8 tháng 12, 1995 (29 tuổi); Hà Nội, Việt Nam",Việt Nam,Ca sĩDiễn viênNgười dẫn chương trình,2010–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HO%C3%80NG_Y%E1%BA%BEN_CHIBI_P2.jpg
100,Phi Phụng,https://vi.wikipedia.org/wiki/Phi_Ph%E1%BB%A5ng,Nguyễn Thị Phi Phụng,"Nguyễn Thị Phi Phụng; 16 tháng 7, 1957 (68 tuổi); Trà Vinh, Việt Nam Cộng hòa",Việt Nam,Diễn viên truyền hình; Diễn viên điện ảnh; Diễn viên kịch nói; Diễn viên hài,1980 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Phiphung.jpg
101,Lê Thu An,nan,,,,,,
102,Hải Ngân Brianna,nan,,,,,,
103,Hồ Quang Mẫn,nan,,,,,,
104,Tuấn Zoi,nan,,,,,,
105,Ellie Mễ Tiên,nan,,,,,,
106,Tiến Luật,nan,,,,,,
107,Anh Tú,nan,,,,,,
108,Thanh Tân,nan,,,,,,
109,Trương Minh Quốc Thái,nan,,,,,,
110,Châu Bùi,nan,,,,,,
111,Trần Ngọc Vàng,nan,,,,,,
112,Huyme,https://vi.wikipedia.org/wiki/Huyme,Phạm Công Thành,"Phạm Công Thành; 1 tháng 3, 1993 (32 tuổi); Hà Nội, Việt Nam",,Vlogger; Diễn viên,2011 – nay,
113,Thái Hòa,https://vi.wikipedia.org/wiki/Th%C3%A1i_H%C3%B2a_(di%E1%BB%85n_vi%C3%AAn),Hồ Thái Hòa,"Hồ Thái Hòa; 10 tháng 8, 1974 (51 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1998–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:TH%C3%81I_H%C3%92A_2025.jpg
114,Xuân Phúc,nan,,,,,,
115,Thanh Thúy,https://vi.wikipedia.org/wiki/Thanh_Th%C3%BAy_(sinh_1982),Lê Thị Thanh Thúy,"Lê Thị Thanh Thúy; 19 tháng 8, 1982 (43 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênDoanh nhânNgười dẫn chương trìnhNhà sản xuất điện ảnh,2002 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:THANH_TH%C3%9AY_2019_-_Portrait_1.jpg
116,Tiến Hoàng,nan,,,,,,
117,Katleen Phan Võ,nan,,,,,,
118,Gi A Nguyễn,nan,,,,,,
119,Duy Khánh,nan,,,,,,
120,Cris Phan,nan,,,,,,
121,MLee,nan,,,,,,
122,NS Viết Liên,nan,,,,,,
123,NSƯT Chiều Xuân,https://vi.wikipedia.org/wiki/Chi%E1%BB%81u_Xu%C3%A2n,,,Việt Nam,,,
124,Băng Di,nan,,,,,,
125,Will,nan,,,,,,
126,Trần Lê Nam,nan,,,,,,
127,Trần Doãn Hoàng,nan,,,,,,
128,Bích Ngọc,nan,,,,,,
129,Thanh Hoa,nan,,,,,,
130,Thanh Bình,nan,,,,,,
131,Chiến Thắng,nan,,,,,,
132,Ngô Kiến Huy,https://vi.wikipedia.org/wiki/Ng%C3%B4_Ki%E1%BA%BFn_Huy,Lê Thành Dương,"Lê Thành Dương; 29 tháng 6, 1988 (37 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Ca sĩDiễn viênNgười dẫn chương trình,2008–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Ng%C3%B4_Ki%E1%BA%BFn_Huy_hosting_B%E1%BB%99_3_Si%C3%AAu_%C4%90%E1%BA%B3ng_SS2_EP13_(cropped).jpg
133,Jessica Hoàng Anh,nan,,,,,,
134,Maya,https://vi.wikipedia.org/wiki/Maya_(ca_s%C4%A9),Mai Thu Hường,"13 tháng 7, 1988 (37 tuổi); Hà Nội, Việt Nam",,Ca sĩ; Người mẫu; Diễn viên,,
135,Khả Như,https://vi.wikipedia.org/wiki/Kh%E1%BA%A3_Nh%C6%B0,Trần Khả Như,"Trần Khả Như; 16 tháng 3, 1987 (38 tuổi); Ngã Bảy, Hậu Giang, Việt Nam",Việt Nam,Diễn viênNgười dẫn chương trình,2008 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Kh%E1%BA%A3_Nh%C6%B0.png
136,Hoàng Phi,nan,,,,,,
137,NSND Hoàng Dũng,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_D%C5%A9ng,,,Việt Nam,,1983 – 2021,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Hoang_dung.jpg
138,Khương Lê,nan,,,,,,
139,Trấn Thành,https://vi.wikipedia.org/wiki/Tr%E1%BA%A5n_Th%C3%A0nh,Huỳnh Trấn Thành,"Huỳnh Trấn Thành; 5 tháng 2, 1987 (38 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênNghệ sĩ hàiNgười dẫn chương trìnhDoanh nhânNhà làm phim,2006–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Tr%E1%BA%A5n_Th%C3%A0nh_191226.png
140,Ngọc Giàu,https://vi.wikipedia.org/wiki/Ng%E1%BB%8Dc_Gi%C3%A0u,Phong Thị Ngọc Giàu,"Phong Thị Ngọc Giàu; 13 tháng 12, 1945 (79 tuổi); Thủ Thiêm, Gia Định, Nam Kỳ, Liên bang Đông Dương",Việt Nam,Diễn viênNghệ sĩ cải lương,1956 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Ng%E1%BB%8Dc_Gi%C3%A0u.png
141,Tuần Trần,https://vi.wikipedia.org/wiki/Tu%E1%BA%A5n_Tr%E1%BA%A7n,Trần Duy Tuấn,"Trần Duy Tuấn; 20 tháng 11, 1992 (32 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênNgười mẫu,20102015–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Tu%E1%BA%A5n_Tr%E1%BA%A7n.jpg
142,Lê Giang,nan,,,,,,
143,Hoàng Mèo,nan,,,,,,
144,Lan Phương,nan,,,,,,
145,Lê Trang,nan,,,,,,
146,Quốc Khánh,nan,,,,,,
147,Võ Thành Tâm,nan,,,,,,
148,Ốc Thanh Vân,https://vi.wikipedia.org/wiki/%E1%BB%90c_Thanh_V%C3%A2n,Phạm Thị Thanh Vân,"Phạm Thị Thanh Vân; 18 tháng 2, 1984 (41 tuổi); Hải Phòng, Việt Nam",Việt Nam,Diễn viênNgười dẫn chương trình,2004 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Oc_Thanh_Van.png
149,Huỳnh Đông,https://vi.wikipedia.org/wiki/Hu%E1%BB%B3nh_%C4%90%C3%B4ng,Phạm Huỳnh Đông,"Phạm Huỳnh Đông; 5 tháng 11, 1983 (41 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viên,2004 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HuynhDong1983.jpg
150,Lê Hạ Anh,nan,,,,,,
151,Bé Bảo Thy,nan,,,,,,
152,Tiết Cương,nan,,,,,,
153,Huỳnh ChillHuyn,nan,,,,,,
154,Trình Mỹ Duyên,nan,,,,,,
155,Lê Thu An,https://vi.wikipedia.org/w/index.php?title=L%C3%AA_Thu_An&action=edit&redlink=1,,,,,,
156,Trúc Anh,https://vi.wikipedia.org/wiki/Tr%C3%BAc_Anh,,"23 tháng 9, 1998 (26 tuổi); Thành phố Hồ Chí Minh, Việt Nam",,Diễn viênNgười mẫu ảnh,2017 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Tr%C3%BAc_Anh_%E2%80%93_M%E1%BA%AFt_bi%E1%BA%BFc_BTS_(2).png
157,Salim,nan,,,,,,
158,Amee,https://vi.wikipedia.org/wiki/Amee,Trần Huyền My,"Trần Huyền My; 23 tháng 3, 2000 (25 tuổi); Hà Nội, Việt Nam",Việt Nam,Ca sĩDiễn viên,2019–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Amee_2024_(cropped).jpg
159,Samuel An,nan,,,,,,
160,Huỳnh Thanh Trực,nan,,,,,,
161,Trần Phong,nan,,,,,,
162,Thùy Anh,nan,,,,,,
163,Thùy Dương,nan,,,,,,
164,Lê Quang Vinh,nan,,,,,,
165,Nguyễn Phước Lộc,nan,,,,,,
166,Hữu Khang,nan,,,,,,
167,Neko Bảo Tiên,nan,,,,,,
168,NSƯT Trung Anh,https://vi.wikipedia.org/wiki/Trung_Anh,,,Việt Nam,,1995 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Trung_Anh.png
